Timecode List:,00:00:25.000,00:00:38.360,00:00:54.520,00:00:58.520,00:00:59.560,00:01:00.720,00:01:01.760,00:01:06.440,00:01:08.040,00:01:48.840,00:01:57.920,00:02:06.040,00:02:12.480,00:02:20.560,00:02:26.560,00:02:39.040,00:02:41.800,00:02:45.880,00:02:54.600,00:02:57.160,00:03:00.200,00:03:05.280,00:03:17.440,00:03:26.920,00:03:28.280,00:03:31.640,00:03:51.960,00:03:58.320,00:04:00.800,00:04:02.160,00:04:24.160,00:04:26.320,00:04:39.480,00:04:48.440,00:05:03.360,00:05:06.960,00:05:13.840,00:05:24.960,00:05:30.480,00:05:33.000,00:05:36.920,00:05:44.160,00:05:59.560,00:06:05.960,00:06:07.120,00:06:14.440,00:06:15.200,00:06:19.640,00:06:22.440,00:06:31.960,00:06:45.000
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,625,00:00:25.000,25.000,625,00:00:25.000,25.000
2,626,00:00:25.000,25.000,959,00:00:38.360,38.360,334,00:00:13.360,13.360
3,960,00:00:38.360,38.360,1363,00:00:54.520,54.520,404,00:00:16.160,16.160
4,1364,00:00:54.520,54.520,1463,00:00:58.520,58.520,100,00:00:04.000,4.000
5,1464,00:00:58.520,58.520,1489,00:00:59.560,59.560,26,00:00:01.040,1.040
6,1490,00:00:59.560,59.560,1518,00:01:00.720,60.720,29,00:00:01.160,1.160
7,1519,00:01:00.720,60.720,1544,00:01:01.760,61.760,26,00:00:01.040,1.040
8,1545,00:01:01.760,61.760,1661,00:01:06.440,66.440,117,00:00:04.680,4.680
9,1662,00:01:06.440,66.440,1701,00:01:08.040,68.040,40,00:00:01.600,1.600
10,1702,00:01:08.040,68.040,2721,00:01:48.840,108.840,1020,00:00:40.800,40.800
11,2722,00:01:48.840,108.840,2948,00:01:57.920,117.920,227,00:00:09.080,9.080
12,2949,00:01:57.920,117.920,3151,00:02:06.040,126.040,203,00:00:08.120,8.120
13,3152,00:02:06.040,126.040,3312,00:02:12.480,132.480,161,00:00:06.440,6.440
14,3313,00:02:12.480,132.480,3514,00:02:20.560,140.560,202,00:00:08.080,8.080
15,3515,00:02:20.560,140.560,3664,00:02:26.560,146.560,150,00:00:06.000,6.000
16,3665,00:02:26.560,146.560,3976,00:02:39.040,159.040,312,00:00:12.480,12.480
17,3977,00:02:39.040,159.040,4045,00:02:41.800,161.800,69,00:00:02.760,2.760
18,4046,00:02:41.800,161.800,4147,00:02:45.880,165.880,102,00:00:04.080,4.080
19,4148,00:02:45.880,165.880,4365,00:02:54.600,174.600,218,00:00:08.720,8.720
20,4366,00:02:54.600,174.600,4429,00:02:57.160,177.160,64,00:00:02.560,2.560
21,4430,00:02:57.160,177.160,4505,00:03:00.200,180.200,76,00:00:03.040,3.040
22,4506,00:03:00.200,180.200,4632,00:03:05.280,185.280,127,00:00:05.080,5.080
23,4633,00:03:05.280,185.280,4936,00:03:17.440,197.440,304,00:00:12.160,12.160
24,4937,00:03:17.440,197.440,5173,00:03:26.920,206.920,237,00:00:09.480,9.480
25,5174,00:03:26.920,206.920,5207,00:03:28.280,208.280,34,00:00:01.360,1.360
26,5208,00:03:28.280,208.280,5291,00:03:31.640,211.640,84,00:00:03.360,3.360
27,5292,00:03:31.640,211.640,5799,00:03:51.960,231.960,508,00:00:20.320,20.320
28,5800,00:03:51.960,231.960,5958,00:03:58.320,238.320,159,00:00:06.360,6.360
29,5959,00:03:58.320,238.320,6020,00:04:00.800,240.800,62,00:00:02.480,2.480
30,6021,00:04:00.800,240.800,6054,00:04:02.160,242.160,34,00:00:01.360,1.360
31,6055,00:04:02.160,242.160,6604,00:04:24.160,264.160,550,00:00:22.000,22.000
32,6605,00:04:24.160,264.160,6658,00:04:26.320,266.320,54,00:00:02.160,2.160
33,6659,00:04:26.320,266.320,6987,00:04:39.480,279.480,329,00:00:13.160,13.160
34,6988,00:04:39.480,279.480,7211,00:04:48.440,288.440,224,00:00:08.960,8.960
35,7212,00:04:48.440,288.440,7584,00:05:03.360,303.360,373,00:00:14.920,14.920
36,7585,00:05:03.360,303.360,7674,00:05:06.960,306.960,90,00:00:03.600,3.600
37,7675,00:05:06.960,306.960,7846,00:05:13.840,313.840,172,00:00:06.880,6.880
38,7847,00:05:13.840,313.840,8124,00:05:24.960,324.960,278,00:00:11.120,11.120
39,8125,00:05:24.960,324.960,8262,00:05:30.480,330.480,138,00:00:05.520,5.520
40,8263,00:05:30.480,330.480,8325,00:05:33.000,333.000,63,00:00:02.520,2.520
41,8326,00:05:33.000,333.000,8423,00:05:36.920,336.920,98,00:00:03.920,3.920
42,8424,00:05:36.920,336.920,8604,00:05:44.160,344.160,181,00:00:07.240,7.240
43,8605,00:05:44.160,344.160,8989,00:05:59.560,359.560,385,00:00:15.400,15.400
44,8990,00:05:59.560,359.560,9149,00:06:05.960,365.960,160,00:00:06.400,6.400
45,9150,00:06:05.960,365.960,9178,00:06:07.120,367.120,29,00:00:01.160,1.160
46,9179,00:06:07.120,367.120,9361,00:06:14.440,374.440,183,00:00:07.320,7.320
47,9362,00:06:14.440,374.440,9380,00:06:15.200,375.200,19,00:00:00.760,0.760
48,9381,00:06:15.200,375.200,9491,00:06:19.640,379.640,111,00:00:04.440,4.440
49,9492,00:06:19.640,379.640,9561,00:06:22.440,382.440,70,00:00:02.800,2.800
50,9562,00:06:22.440,382.440,9799,00:06:31.960,391.960,238,00:00:09.520,9.520
51,9800,00:06:31.960,391.960,10125,00:06:45.000,405.000,326,00:00:13.040,13.040
52,10126,00:06:45.000,405.000,10427,00:06:57.080,417.080,302,00:00:12.080,12.080
